Time,SimulationTime,AgentID,Mode,StayTime(min),DUtility,ONodeID,DNodeID,O_Lon,O_Lat,D_Lon,D_Lat,Purpose,LastTrip
1602145201000,30001,301,3,0,0,37484,132819,139.82802580,35.68891000,139.82804660,35.68879320,0,1
1602145201000,30001,302,3,0,0,36185,36023,139.84297570,35.69740090,139.84225390,35.69600180,0,1
1602145201000,30001,303,3,0,0,172826,50185,139.83463560,35.70308020,139.83201000,35.70211090,0,1
1602145201000,30001,304,3,0,0,69284,69288,139.82856590,35.67085350,139.82825920,35.67023920,0,1
1602145201000,30001,305,3,0,0,133218,55506,139.84040210,35.66799480,139.83981220,35.66758870,0,1
1602145201000,30001,306,3,0,0,18493,175961,139.83757620,35.67578540,139.83791840,35.67536140,0,1
1602145201000,30001,307,3,0,0,78319,78213,139.82157960,35.69801840,139.82491000,35.69746420,0,1
1602145201000,30001,308,3,0,0,132541,91833,139.83728030,35.68850740,139.83498680,35.69069070,0,1
1602145201000,30001,309,3,0,0,65355,124504,139.83624100,35.68441430,139.83638090,35.68467740,0,1
1602145201000,30001,310,3,0,0,11439,132492,139.82166100,35.70376130,139.82716210,35.70390400,0,1
1602145201000,30001,311,3,0,0,57826,57792,139.83770980,35.69716040,139.83606760,35.69655300,0,1
1602145201000,30001,312,3,0,0,81939,132492,139.82485590,35.70430140,139.82716210,35.70390400,0,1
1602145201000,30001,313,3,0,0,81204,57792,139.83412440,35.69645850,139.83606760,35.69655300,0,1
1602145201000,30001,314,3,0,0,18482,161154,139.83717740,35.68098220,139.83969820,35.67882370,0,1
1602145201000,30001,315,3,0,0,112084,136208,139.84352680,35.67515770,139.84171810,35.67855070,0,1
1602145201000,30001,316,3,0,0,52835,112341,139.83908230,35.70540390,139.83653620,35.69985920,0,1
1602145201000,30001,317,3,0,0,112111,69299,139.84140040,35.68463120,139.84136270,35.68610730,0,1
1602145201000,30001,318,3,0,0,161159,161154,139.83724690,35.67956320,139.83969820,35.67882370,0,1
1602145201000,30001,319,3,0,0,65161,69169,139.82041220,35.67741510,139.82863800,35.67688960,0,1
1602145201000,30001,320,3,0,0,65367,65365,139.84034570,35.68765850,139.84125010,35.68638180,0,1
1602145201000,30001,321,3,0,0,78261,132492,139.82483700,35.70116350,139.82716210,35.70390400,0,1
1602145201000,30001,322,3,0,0,51876,81169,139.84261790,35.70469300,139.84120770,35.69899220,0,1
1602145201000,30001,323,3,0,0,112108,136208,139.84403960,35.67739320,139.84171810,35.67855070,0,1
1602145201000,30001,324,3,0,0,132541,91833,139.83728030,35.68850740,139.83498680,35.69069070,0,1
1602145201000,30001,325,3,0,0,11442,78213,139.82166470,35.70160570,139.82491000,35.69746420,0,1
1602145201000,30001,326,3,0,0,81886,132492,139.81967630,35.70620860,139.82716210,35.70390400,0,1
1602145201000,30001,327,3,0,0,69264,69288,139.82094360,35.66978910,139.82825920,35.67023920,0,1
1602145201000,30001,328,3,0,0,143372,55506,139.84128960,35.66827180,139.83981220,35.66758870,0,1
1602145201000,30001,329,3,0,0,170172,65358,139.83409050,35.68649310,139.83478510,35.68430310,0,1
1602145201000,30001,330,3,0,0,53001,50185,139.83129790,35.70153700,139.83201000,35.70211090,0,1
1602145201000,30001,331,3,0,0,78214,78213,139.82561460,35.69778330,139.82491000,35.69746420,0,1
1602145201000,30001,332,3,0,0,134515,50185,139.83465220,35.70199460,139.83201000,35.70211090,0,1
1602145201000,30001,333,3,0,0,57768,57792,139.83663080,35.69499190,139.83606760,35.69655300,0,1
1602145201000,30001,334,3,0,0,50476,132492,139.82831310,35.70367920,139.82716210,35.70390400,0,1
1602145201000,30001,335,3,0,0,69272,69288,139.82670760,35.67132510,139.82825920,35.67023920,0,1
1602145201000,30001,336,3,0,0,65134,57792,139.83396520,35.69699490,139.83606760,35.69655300,0,1
1602145201000,30001,337,3,0,0,163787,147707,139.82977010,35.67610380,139.82979600,35.67675210,0,1
1602145201000,30001,338,3,0,0,52985,50185,139.83255980,35.70104370,139.83201000,35.70211090,0,1
1602145201000,30001,339,3,0,0,11446,132492,139.82327990,35.70169040,139.82716210,35.70390400,0,1
1602145201000,30001,340,3,0,0,118867,175961,139.83519740,35.67766140,139.83791840,35.67536140,0,1
1602145201000,30001,341,3,0,0,112051,161154,139.84035030,35.67765430,139.83969820,35.67882370,0,1
1602145201000,30001,342,3,0,0,133219,55506,139.84030780,35.66706910,139.83981220,35.66758870,0,1
1602145201000,30001,343,3,0,0,35954,81169,139.84322020,35.70633990,139.84120770,35.69899220,0,1
1602145201000,30001,344,3,0,0,161135,132819,139.82871500,35.68930100,139.82804660,35.68879320,0,1
1602145201000,30001,345,3,0,0,11439,132492,139.82166100,35.70376130,139.82716210,35.70390400,0,1
1602145201000,30001,346,3,0,0,50537,81169,139.84197010,35.70124220,139.84120770,35.69899220,0,1
1602145201000,30001,347,3,0,0,65115,37487,139.82000270,35.69363950,139.82413030,35.68925160,0,1
1602145201000,30001,348,3,0,0,81023,81193,139.83145400,35.69510950,139.83066070,35.69566760,0,1
1602145201000,30001,349,3,0,0,132898,132819,139.82788610,35.69035470,139.82804660,35.68879320,0,1
1602145201000,30001,350,3,0,0,69281,126352,139.83307460,35.66831720,139.83480540,35.67083780,0,1
1602145201000,30001,351,3,0,0,1501,69169,139.82695600,35.67705800,139.82863800,35.67688960,0,1
1602145201000,30001,352,3,0,0,69297,69169,139.82403150,35.67807230,139.82863800,35.67688960,0,1
1602145201000,30001,353,3,0,0,112057,55506,139.84215650,35.66934370,139.83981220,35.66758870,0,1
