ID,NodeID,RightTurn
34,37114,0
34,37127,0
10,37227,0
15,37230,0
10,37237,0
32,37257,0
16,37286,0
11,37304,0
1,37307,0
31,37354,0
14,37381,0
14,37382,0
29,37384,0
14,37393,0
26,37397,0
26,37398,0
26,37399,0
17,37419,0
3,37517,0
2,37521,0
