Time,SimulationTime,AgentID,Mode,StayTime(min),DUtility,ONodeID,DNodeID,O_Lon,O_Lat,D_Lon,D_Lat,Purpose,LastTrip
1602145201000,30001,0,3,0,0,1552,90679,139.83293830,35.68169460,139.84270980,35.68961740,0,1
1602145201000,30001,1,3,0,0,1552,170166,139.83293830,35.68169460,139.84349660,35.68681850,0,1
1602145201000,30001,2,3,0,0,1552,81198,139.83293830,35.68169460,139.83160670,35.69365750,0,1
1602145201000,30001,3,0,0,0,1552,136239,139.83293830,35.68169460,139.84463030,35.68246550,0,1
1602145201000,30001,4,3,0,0,1552,132898,139.83293830,35.68169460,139.82788610,35.69035470,0,1
1602145201000,30001,5,3,0,0,1552,132783,139.83293830,35.68169460,139.83221190,35.68665460,0,1
1602145201000,30001,6,3,0,0,1552,65116,139.83293830,35.68169460,139.82148750,35.69372980,0,1
1602145201000,30001,7,3,0,0,1552,90691,139.83293830,35.68169460,139.84484440,35.68907490,0,1
1602145201000,30001,8,3,0,0,1552,57801,139.83293830,35.68169460,139.84151920,35.70015200,0,1
1602145201000,30001,9,0,0,0,1552,11549,139.83293830,35.68169460,139.80084760,35.67782540,0,1
1602145201000,30001,10,3,0,0,1552,65359,139.83293830,35.68169460,139.83941030,35.68943030,0,1
1602145201000,30001,11,3,0,0,1552,35984,139.83293830,35.68169460,139.84478920,35.68778960,0,1
1602145201000,30001,12,0,0,0,1552,91822,139.83293830,35.68169460,139.83508600,35.69015470,0,1
1602145201000,30001,13,0,0,0,1552,112340,139.83293830,35.68169460,139.84374220,35.68776120,0,1
1602145201000,30001,14,3,0,0,1552,65242,139.83293830,35.68169460,139.82309130,35.68885490,0,1
1602145201000,30001,15,3,0,0,1552,36003,139.83293830,35.68169460,139.84412350,35.69188340,0,1
1602145201000,30001,16,3,0,0,1552,35995,139.83293830,35.68169460,139.84656290,35.68718290,0,1
1602145201000,30001,17,3,0,0,1552,91839,139.83293830,35.68169460,139.83498290,35.69320390,0,1
1602145201000,30001,18,3,0,0,1552,172491,139.83293830,35.68169460,139.84642010,35.68671270,0,1
1602145201000,30001,19,3,0,0,1552,37482,139.83293830,35.68169460,139.82799200,35.68931700,0,1
1602145201000,30001,20,3,0,0,1552,1521,139.83293830,35.68169460,139.82651100,35.68702650,0,1
1602145201000,30001,21,3,0,0,1552,170179,139.83293830,35.68169460,139.82864940,35.68208570,0,1
1602145201000,30001,22,3,0,0,1552,68949,139.83293830,35.68169460,139.83064810,35.68396660,0,1
1602145201000,30001,23,3,0,0,1552,132545,139.83293830,35.68169460,139.83485530,35.69284340,0,1
1602145201000,30001,24,3,0,0,1552,91801,139.83293830,35.68169460,139.83601450,35.69112350,0,1
1602145201000,30001,25,3,0,0,1552,132807,139.83293830,35.68169460,139.83739320,35.68743690,0,1
1602145201000,30001,26,3,0,0,1552,65325,139.83293830,35.68169460,139.83788210,35.69010000,0,1
1602145201000,30001,27,3,0,0,1552,65320,139.83293830,35.68169460,139.83804200,35.68939670,0,1
1602145201000,30001,28,3,0,0,1552,53454,139.83293830,35.68169460,139.82547260,35.70064260,0,1
1602145201000,30001,29,3,0,0,1552,118890,139.83293830,35.68169460,139.83579540,35.68043060,0,1
1602145201000,30001,30,3,0,0,1552,65172,139.83293830,35.68169460,139.83110400,35.68579420,0,1
1602145201000,30001,31,3,0,0,1552,112304,139.83293830,35.68169460,139.83689990,35.69069370,0,1
1602145201000,30001,32,3,0,0,1552,112311,139.83293830,35.68169460,139.83849150,35.69398510,0,1
1602145201000,30001,33,3,0,0,1552,112296,139.83293830,35.68169460,139.83943550,35.69402340,0,1
1602145201000,30001,34,3,0,0,1552,1913,139.83293830,35.68169460,139.82552480,35.67773240,0,1
1602145201000,30001,35,3,0,0,1552,136207,139.83293830,35.68169460,139.83798070,35.67835720,0,1
1602145201000,30001,36,3,0,0,1552,112338,139.83293830,35.68169460,139.84271310,35.69358630,0,1
1602145201000,30001,37,3,0,0,1552,112292,139.83293830,35.68169460,139.83670370,35.69334160,0,1
1602145201000,30001,38,3,0,0,1552,125204,139.83293830,35.68169460,139.81556550,35.70218730,0,1
1602145201000,30001,39,0,0,0,1552,112314,139.83293830,35.68169460,139.84236760,35.69357070,0,1
1602145201000,30001,40,0,0,0,1552,69160,139.83293830,35.68169460,139.82826060,35.68227000,0,1
1602145201000,30001,41,0,0,0,1552,112300,139.83293830,35.68169460,139.83870770,35.69265910,0,1
1602145201000,30001,42,0,0,0,1552,165691,139.83293830,35.68169460,139.82873110,35.68317240,0,1
1602145201000,30001,43,0,0,0,1552,124530,139.83293830,35.68169460,139.81133160,35.68871810,0,1
1602145201000,30001,44,0,0,0,1552,1939,139.83293830,35.68169460,139.81067080,35.68952730,0,1
1602145201000,30001,45,3,0,0,1552,91839,139.83293830,35.68169460,139.83498290,35.69320390,0,1
1602145201000,30001,46,3,0,0,1552,65327,139.83293830,35.68169460,139.83775020,35.69067680,0,1
1602145201000,30001,47,3,0,0,1552,37479,139.83293830,35.68169460,139.82975850,35.68927350,0,1
1602145201000,30001,48,3,0,0,1552,132778,139.83293830,35.68169460,139.83051790,35.68809600,0,1
1602145201000,30001,49,3,0,0,1552,112332,139.83293830,35.68169460,139.83765560,35.69081780,0,1
1602145201000,30001,50,3,0,0,1552,57823,139.83293830,35.68169460,139.84165660,35.69987340,0,1
1602145201000,30001,51,3,0,0,1552,65345,139.83293830,35.68169460,139.83544080,35.69071200,0,1
1602145201000,30001,53,3,0,0,1552,90677,139.83293830,35.68169460,139.84254650,35.69294870,0,1
